State,Year,Population,GDP per Capita (INR),Poverty_rate
Mizoram,2022,2163687,96490,20.75103552
Jharkhand,2022,1381604,35454,21.29396935
Rajasthan,2019,302515,140494,20.70221817
Delhi,2021,345625,119180,19.04158021
Chandigarh,2018,462610,83871,19.47955207
West Bengal,2020,1523437,168709,19.80094842
Maharashtra,2022,1690307,59424,19.09310892
Nagaland,2022,1085865,47948,19.66306772
Tripura,2020,2085115,127123,19.99091086
Assam,2022,1448616,92292,20.85677792
Rajasthan,2022,2291530,207254,18.50888045
Puducherry,2021,1843723,216168,17.70320843
Rajasthan,2022,2556976,158713,18.63462567
Madhya Pradesh,2018,1141174,220271,19.20502776
Uttarakhand,2022,979717,58460,20.00969196
Arunachal Pradesh,2020,1789080,213233,19.15352796
Arunachal Pradesh,2023,2177599,158046,20.03864204
Rajasthan,2023,526857,94340,19.84568713
Odisha,2019,2194751,178469,19.57756689
Karnataka,2021,1211328,241194,18.80746411
Kerala,2023,305658,209921,20.46298808
West Bengal,2023,2817203,135156,20.99378617
Jammu & Kashmir,2018,198182,223242,17.51885563
Assam,2023,1862336,169544,19.05945469
Maharashtra,2023,204721,203137,19.0806435
Haryana,2019,405054,85480,19.71212026
Andaman & Nicobar Islands,2021,1340019,245815,21.11994216
Gujarat,2020,1492181,129303,19.91167216
Telangana,2023,1644550,238270,17.85049544
Jharkhand,2018,966004,50922,20.47290518
Dadra & Nagar Haveli and Daman & Diu,2020,2999761,182802,19.7313219
Karnataka,2021,2661393,130667,19.83559734
Sikkim,2018,514535,56751,21.99449422
Telangana,2021,1761382,149304,20.02756519
Mizoram,2021,1370309,143012,19.4053336
Arunachal Pradesh,2021,1835516,35469,17.81394121
Uttarakhand,2020,1908777,249073,18.50425436
Rajasthan,2023,302773,47221,21.54752819
Madhya Pradesh,2021,181562,33729,20.24054518
Manipur,2022,299264,193996,16.11837665
Assam,2018,95232,116544,18.77476468
Uttar Pradesh,2022,990325,34695,21.45915576
Himachal Pradesh,2021,755356,44031,20.6054441
Odisha,2018,1083388,193535,18.20573836
Chandigarh,2023,1558797,219668,18.28244443
Ladakh,2020,1613159,56325,19.64232753
Jammu & Kashmir,2020,2227028,197071,18.3199274
Goa,2018,473177,173674,16.81283279
Delhi,2023,2700250,50092,21.09064771
Uttar Pradesh,2020,1830192,67271,21.33742034
Goa,2022,2106501,32708,18.65290779
Meghalaya,2020,1194440,238886,20.74859535
Puducherry,2022,1024507,33679,20.11763979
Jammu & Kashmir,2022,1543156,55792,21.89067772
Manipur,2018,1097146,183956,19.46612846
Andhra Pradesh,2023,1302557,134211,20.05043256
West Bengal,2019,2593923,148642,19.61687626
Lakshadweep,2019,1775284,195368,18.08640896
Odisha,2018,346694,83693,21.14729218
Arunachal Pradesh,2021,2170539,123980,18.00924611
Nagaland,2021,2477115,143689,18.74947141
Arunachal Pradesh,2019,1927541,189342,19.7464571
Goa,2022,2015730,136082,19.25696508
Chandigarh,2020,664769,82802,20.55474085
Tamil Nadu,2019,1981441,32889,21.94588387
Goa,2022,732405,205841,20.48503429
Tamil Nadu,2021,2399465,58261,17.4358239
Tamil Nadu,2023,1389083,191792,19.59301111
Karnataka,2019,2608845,35695,21.289991
Nagaland,2019,70655,194077,17.75867684
Sikkim,2021,943061,181872,20.53921315
Puducherry,2018,551854,115818,20.23340892
Haryana,2021,2998632,153130,17.48200781
Manipur,2023,446419,221313,20.40658048
Uttar Pradesh,2018,1040993,133088,20.04396722
Uttarakhand,2021,2740927,182540,20.25686869
Ladakh,2021,960175,177641,18.31984618
Ladakh,2023,434533,139525,19.47116968
Maharashtra,2018,1067375,40400,17.91468202
Telangana,2021,2018881,240503,15.64729215
Uttarakhand,2022,59422,204698,19.54858082
Madhya Pradesh,2019,2057878,83473,21.16711865
West Bengal,2022,405734,116612,19.79348443
Telangana,2022,2547587,100864,19.29015176
Andhra Pradesh,2020,977460,106373,19.4031774
Rajasthan,2019,532450,93230,18.52467927
Lakshadweep,2021,2053649,150827,19.24554239
Nagaland,2018,1455419,221996,19.62932614
