State,Year,Literacy_rate,Male Literacy Rate (%),Female Literacy Rate (%),School Enrollment Rate (%),Dropout_Rate
Mizoram,2022,71.03647074,0.806,0.8264,0.7863,4.220028562
Jharkhand,2022,76.73208556,0.8046,0.9341,0.8336,8.41841209
Rajasthan,2019,72.68829354,0.6007,0.6021,0.5741,7.982827166
Delhi,2021,71.26749941,0.7778,0.894,0.5598,6.847785254
Chandigarh,2018,89.79920465,0.9655,0.9462,0.6396,9.065022694
West Bengal,2020,76.4470769,0.6105,0.7941,0.7783,8.834020918
Maharashtra,2022,86.19748892,0.7022,0.854,0.5622,7.512126186
Nagaland,2022,75.0928131,0.7084,0.5281,0.9579,9.209627683
Tripura,2020,83.63005444,0.9188,0.5579,0.8771,5.23504726
Assam,2022,85.2045572,0.736,0.5343,0.6578,4.671517716
Rajasthan,2022,81.91277481,0.688,0.8703,0.9824,5.618497669
Puducherry,2021,79.43152377,0.6304,0.7383,0.9805,4.342521137
Rajasthan,2022,78.23681828,0.6044,0.509,0.658,7.187017168
Madhya Pradesh,2018,76.97736533,0.7945,0.886,0.8736,9.619634154
Uttarakhand,2022,88.59058288,0.9015,0.7271,0.6119,4.236061244
Arunachal Pradesh,2020,86.61238816,0.9502,0.8067,0.5616,4.732659484
Arunachal Pradesh,2023,89.30053821,0.7571,0.6058,0.8855,6.71319417
Rajasthan,2023,72.48594447,0.7174,0.7072,0.7806,9.603250105
Odisha,2019,84.6173495,0.6692,0.6692,0.7394,5.89693663
Karnataka,2021,88.76680914,0.6889,0.6375,0.74,7.043408852
Kerala,2023,73.62466132,0.641,0.9787,0.99,4.249437154
West Bengal,2023,71.32992535,0.9213,0.6866,0.8126,4.890059206
Jammu & Kashmir,2018,84.82241299,0.942,0.6641,0.8755,9.919780738
Assam,2023,81.48946226,0.9161,0.7949,0.5191,9.790712179
Maharashtra,2023,86.83657554,0.8652,0.6446,0.8866,4.029639886
Haryana,2019,72.79544753,0.8008,0.5234,0.5335,9.710870713
Andaman & Nicobar Islands,2021,85.90534624,0.6518,0.5983,0.5095,7.834719627
Gujarat,2020,74.0325464,0.8592,0.7574,0.771,9.207509767
Telangana,2023,73.27311886,0.982,0.7223,0.8774,6.728439134
Jharkhand,2018,73.28531596,0.6776,0.7501,0.7281,7.093576171
Dadra & Nagar Haveli and Daman & Diu,2020,86.2914944,0.8599,0.8312,0.5044,6.933079482
Karnataka,2021,83.30394441,0.9167,0.5183,0.7317,8.001185545
Sikkim,2018,80.4613085,0.9758,0.8627,0.8163,4.837907529
Telangana,2021,77.17660968,0.8358,0.5884,0.6,4.179841539
Mizoram,2021,87.54401082,0.8341,0.8616,0.7248,5.84757965
Arunachal Pradesh,2021,77.84890215,0.8607,0.5111,0.9676,8.228084576
Uttarakhand,2020,86.33198879,0.7269,0.8304,0.7126,5.211120713
Rajasthan,2023,78.78269817,0.7885,0.7789,0.7502,8.0405946
Madhya Pradesh,2021,77.53888859,0.6587,0.9416,0.7479,9.819472277
Manipur,2022,79.25359571,0.6762,0.7814,0.8736,4.563404295
Assam,2018,76.02755748,0.7175,0.6254,0.9851,8.035612709
Uttar Pradesh,2022,84.9521876,0.7198,0.6461,0.5449,6.662501316
Himachal Pradesh,2021,80.0544078,0.9182,0.7308,0.5518,9.208853526
Odisha,2018,74.6442539,0.6157,0.8054,0.7808,5.062898737
Chandigarh,2023,87.99149147,0.7722,0.9267,0.9754,8.155755713
Ladakh,2020,77.67782443,0.8071,0.8307,0.5753,9.028691738
Jammu & Kashmir,2020,80.87105722,0.8797,0.9712,0.9373,9.667685317
