Time,Date,Dayoftheweek,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
00:00,10,Tuesday,31,0,4,4,39,Low
00:15,10,Tuesday,49,0,3,3,55,Low
00:30,10,Tuesday,46,0,3,6,55,Low
00:45,10,Tuesday,51,0,2,5,58,Low
01:00,10,Tuesday,57,6,15,16,94,Normal
01:15,10,Tuesday,44,0,5,4,53,Low
01:30,10,Tuesday,37,0,1,4,42,Low
01:45,10,Tuesday,42,4,4,5,55,Low
02:00,10,Tuesday,51,0,9,7,67,Low
02:15,10,Tuesday,34,0,4,7,45,Low
02:30,10,Tuesday,45,0,1,1,47,Low
02:45,10,Tuesday,45,0,1,3,49,Low
03:00,10,Tuesday,50,0,3,0,53,Low
03:15,10,Tuesday,34,0,4,4,42,Low
03:30,10,Tuesday,129,22,42,1,194,High
03:45,10,Tuesday,144,16,49,0,209,High
04:00,10,Tuesday,111,28,20,3,162,Normal
04:15,10,Tuesday,67,11,10,16,104,Normal
04:30,10,Tuesday,65,24,7,16,112,Normal
04:45,10,Tuesday,94,27,7,16,144,Normal
05:00,10,Tuesday,94,20,8,7,129,Normal
05:15,10,Tuesday,67,29,5,10,111,Low
05:30,10,Tuesday,56,12,2,14,84,Normal
05:45,10,Tuesday,57,13,3,11,84,Low
06:00,10,Tuesday,129,22,42,1,194,High
06:15,10,Tuesday,144,16,49,0,209,High
06:30,10,Tuesday,111,28,20,3,162,Normal
06:45,10,Tuesday,120,27,46,3,196,High
07:00,10,Tuesday,102,39,47,1,189,High
07:15,10,Tuesday,145,23,27,0,195,High
07:30,10,Tuesday,114,37,21,5,177,High
07:45,10,Tuesday,108,18,22,1,149,Normal
08:00,10,Tuesday,122,28,33,1,184,High
08:15,10,Tuesday,114,39,30,3,186,High
08:30,10,Tuesday,150,36,25,1,212,High
08:45,10,Tuesday,107,10,49,2,168,High
09:00,10,Tuesday,124,24,22,0,170,High
09:15,10,Tuesday,77,16,39,29,161,High
09:30,10,Tuesday,15,23,30,21,89,Normal
09:45,10,Tuesday,32,22,38,21,113,High
10:00,10,Tuesday,68,13,29,24,134,High
10:15,10,Tuesday,27,16,36,30,109,Normal
10:30,10,Tuesday,76,7,11,15,109,Normal
10:45,10,Tuesday,41,23,20,17,101,Normal
11:00,10,Tuesday,33,10,3,29,75,Normal
11:15,10,Tuesday,58,8,14,29,109,Normal
11:30,10,Tuesday,65,7,11,26,109,Normal
11:45,10,Tuesday,47,9,6,29,91,Normal
12:00,10,Tuesday,38,10,5,25,78,Normal
12:15,10,Tuesday,57,8,12,29,106,Normal
12:30,10,Tuesday,20,6,4,20,50,Normal
12:45,10,Tuesday,24,9,14,23,70,Normal
13:00,10,Tuesday,52,10,13,21,96,Normal
13:15,10,Tuesday,79,15,36,18,148,High
13:30,10,Tuesday,84,24,22,18,148,Normal
13:45,10,Tuesday,59,19,35,16,129,High
14:00,10,Tuesday,88,26,31,19,164,High
14:15,10,Tuesday,24,11,32,13,80,Normal
14:30,10,Tuesday,110,17,23,20,170,High
14:45,10,Tuesday,29,26,5,6,66,Low
15:00,10,Tuesday,43,26,11,20,100,Normal
15:15,10,Tuesday,68,28,9,15,120,Normal
15:30,10,Tuesday,108,16,8,18,150,Normal
15:45,10,Tuesday,101,26,8,14,149,Normal
16:00,10,Tuesday,141,31,36,6,214,High
16:15,10,Tuesday,120,25,28,5,178,High
16:30,10,Tuesday,137,23,44,5,209,High
16:45,10,Tuesday,124,11,30,7,172,High
17:00,10,Tuesday,145,25,49,7,226,High
17:15,10,Tuesday,122,37,23,8,190,High
17:30,10,Tuesday,136,30,20,9,195,High
17:45,10,Tuesday,145,18,40,9,212,High
18:00,10,Tuesday,138,34,28,5,205,High
18:15,10,Tuesday,123,10,29,8,170,High
18:30,10,Tuesday,105,15,21,9,150,Normal
18:45,10,Tuesday,75,22,20,11,128,Normal
19:00,10,Tuesday,90,12,10,13,125,Normal
19:15,10,Tuesday,102,22,20,16,160,Normal
19:30,10,Tuesday,61,18,15,27,121,High
19:45,10,Tuesday,70,8,14,6,98,Low
20:00,10,Tuesday,80,17,12,34,143,High
20:15,10,Tuesday,62,12,14,19,107,Normal
20:30,10,Tuesday,96,5,11,13,125,Normal
20:45,10,Tuesday,102,6,12,13,133,Normal
21:00,10,Tuesday,91,14,15,6,126,Normal
21:15,10,Tuesday,95,8,17,13,133,Normal
21:30,10,Tuesday,75,15,12,21,123,High
21:45,10,Tuesday,53,21,20,10,104,Normal
22:00,10,Tuesday,13,1,0,19,33,Normal
22:15,10,Tuesday,10,0,1,24,35,Normal
22:30,10,Tuesday,16,2,0,33,51,Normal
22:45,10,Tuesday,11,1,0,29,41,Normal
