State,Year,Labor Force Participation Rate (%),Unemployment_rate,Youth Unemployment Rate (%),Female Unemployment Rate (%),Employment in Agriculture (%),Employment in Services (%)
Mizoram,2022,0.3487,6.498160475,0.0567,0.1968,0.367,0.2226
Jharkhand,2022,0.4781,8.802857226,0.2271,0.179,0.6677,0.2831
Rajasthan,2019,0.3449,7.927975767,0.0863,0.1974,0.6766,0.1737
Delhi,2021,0.42,7.394633937,0.1913,0.1469,0.5385,0.2067
Chandigarh,2018,0.4053,5.624074562,0.1195,0.1277,0.1877,0.3495
West Bengal,2020,0.4791,5.623978081,0.151,0.1227,0.6287,0.4669
Maharashtra,2022,0.328,5.232334449,0.1851,0.1195,0.4502,0.1406
Nagaland,2022,0.4477,8.464704583,0.1661,0.1052,0.4288,0.2884
Tripura,2020,0.5673,7.404460047,0.1087,0.1028,0.3036,0.1421
Assam,2022,0.5812,7.832290311,0.07,0.1779,0.5059,0.4892
Rajasthan,2022,0.3044,5.082337977,0.1974,0.1054,0.3807,0.5389
Puducherry,2021,0.5432,8.879639409,0.1632,0.1112,0.3352,0.4816
Rajasthan,2022,0.3991,8.329770563,0.1045,0.1866,0.4613,0.4498
Madhya Pradesh,2018,0.4643,5.849356443,0.1754,0.1781,0.5218,0.1773
Uttarakhand,2022,0.3435,5.727299869,0.2156,0.1662,0.1251,0.5095
Arunachal Pradesh,2020,0.3004,5.733618039,0.1493,0.1188,0.1292,0.5732
Arunachal Pradesh,2023,0.6166,6.216968972,0.1579,0.1216,0.4204,0.4094
Rajasthan,2023,0.4148,7.099025727,0.2007,0.0456,0.1657,0.1183
Odisha,2019,0.3676,6.727780075,0.1987,0.127,0.2349,0.1433
Karnataka,2021,0.484,6.164916561,0.0632,0.1229,0.6098,0.1959
Kerala,2023,0.6535,7.447411579,0.0506,0.0922,0.1797,0.1395
West Bengal,2023,0.5016,5.557975443,0.1697,0.171,0.1697,0.1642
Jammu & Kashmir,2018,0.3488,6.168578594,0.2218,0.111,0.2477,0.162
Assam,2023,0.4023,6.465447373,0.2153,0.0862,0.4215,0.4079
Maharashtra,2023,0.4245,6.824279937,0.2472,0.1739,0.3881,0.3803
Haryana,2019,0.3418,8.140703846,0.0598,0.1222,0.3005,0.381
Andaman & Nicobar Islands,2021,0.6276,5.798695129,0.0924,0.1187,0.1967,0.5933
Gujarat,2020,0.519,7.056937754,0.092,0.119,0.5092,0.2839
Telangana,2023,0.6605,7.369658275,0.1265,0.0606,0.579,0.3154
Jharkhand,2018,0.5467,5.185801651,0.1805,0.1862,0.2935,0.3795
Dadra & Nagar Haveli and Daman & Diu,2020,0.3104,7.430179408,0.204,0.1279,0.531,0.3808
Karnataka,2021,0.6544,5.682096495,0.1175,0.1052,0.2594,0.3855
Sikkim,2018,0.3472,5.260206372,0.1113,0.1443,0.3556,0.4843
Telangana,2021,0.5422,8.795542149,0.0853,0.0978,0.6111,0.5865
Mizoram,2021,0.443,8.862528132,0.0893,0.1184,0.2226,0.1005
Arunachal Pradesh,2021,0.5879,8.233589392,0.1508,0.1543,0.3645,0.4438
Uttarakhand,2020,0.332,6.218455077,0.1491,0.1818,0.2236,0.477
Rajasthan,2023,0.617,5.390688456,0.1519,0.0692,0.5703,0.598
Madhya Pradesh,2021,0.6209,7.736932106,0.184,0.173,0.2554,0.44
Manipur,2022,0.3919,6.760609975,0.173,0.1198,0.3405,0.1372
Assam,2018,0.3649,5.488152939,0.1141,0.1625,0.474,0.3197
Uttar Pradesh,2022,0.5557,6.98070764,0.0675,0.0963,0.5807,0.4768
Himachal Pradesh,2021,0.5598,5.137554084,0.0988,0.0727,0.4611,0.1397
Odisha,2018,0.4147,8.637281608,0.1012,0.1635,0.1062,0.1388
Chandigarh,2023,0.5168,6.035119926,0.1037,0.1557,0.6566,0.5546
Ladakh,2020,0.6528,7.650089137,0.207,0.1036,0.2689,0.1488
Jammu & Kashmir,2020,0.5015,6.246844304,0.0742,0.0359,0.5754,0.1588
Goa,2018,0.3429,7.080272085,0.0606,0.0846,0.2748,0.3885
Delhi,2023,0.6504,7.186841117,0.1539,0.1079,0.1574,0.2609
Uttar Pradesh,2020,0.3671,5.739417822,0.104,0.0491,0.2432,0.5978
Goa,2022,0.5301,8.878338511,0.2349,0.1131,0.5551,0.2729
Meghalaya,2020,0.6236,8.100531293,0.1952,0.0874,0.228,0.2171
Puducherry,2022,0.6202,8.757995766,0.2474,0.0534,0.5275,0.356
Jammu & Kashmir,2022,0.4031,8.579309402,0.2456,0.0752,0.1276,0.4067
Manipur,2018,0.5184,7.391599915,0.1571,0.0812,0.1682,0.5817
Andhra Pradesh,2023,0.5169,8.68749694,0.1444,0.0794,0.1576,0.1089
West Bengal,2019,0.4818,5.353970008,0.1013,0.1342,0.5652,0.1183
Lakshadweep,2019,0.6856,5.78393145,0.1939,0.0729,0.1171,0.1072
Odisha,2018,0.4556,5.180909156,0.2355,0.0699,0.692,0.2153
Arunachal Pradesh,2021,0.4104,6.301321323,0.2067,0.1577,0.2711,0.3048
Nagaland,2021,0.5593,6.554709159,0.1321,0.1576,0.2499,0.4537
Arunachal Pradesh,2019,0.5971,6.085396127,0.0817,0.0377,0.5432,0.3408
Goa,2022,0.3366,8.314950037,0.1798,0.0664,0.4131,0.3196
Chandigarh,2020,0.5352,6.427013307,0.1972,0.1087,0.6682,0.4276
Tamil Nadu,2019,0.3048,6.123738039,0.1757,0.1485,0.4527,0.5762
Goa,2022,0.3313,7.170784333,0.0659,0.0439,0.3521,0.4632
Tamil Nadu,2021,0.5991,5.5636969,0.1523,0.1062,0.1688,0.1692
Tamil Nadu,2023,0.6228,8.208787923,0.2057,0.1456,0.5291,0.1185
