stn_code,monitoring_location,year,type_water_body,state_name,avg_temperature,avg_dissolved,avg_ph,avg_conductivity,avg_bod,avg_nitraten,avg_fecal_coliform,anomaly_zscore,is_anomaly_z,wqi,wqi_category,is_anomaly_iqr
3376," BIT MESRA, RANCHI",2017,Lake,JHARKHAND,19.65,6.82,7.32,162.26,4.16,8.1,117.5,0.9079936679446411,False,3.56,Excellent,False
6121, KANKE DAM,2021,River,JHARKHAND,22.2,5.29,7.07,114.56,4.38,7.0,204.0,1.9471294984236087,False,3.05,Excellent,False
2524, MASANJORE DAM,2015,Lake,HIMACHAL PRADESH,23.72,5.56,7.38,138.69,3.92,4.819999999999999,83.0,1.3195004463120188,False,3.2,Excellent,False
4441, BOKARO,2008,Pond,UTTARAKHAND,24.52,7.01,6.94,150.12,3.15,8.299999999999999,102.0,1.5228586425560815,False,3.55,Excellent,False
3669, TENUGH DAM,2010,Lake,HIMACHAL PRADESH,20.55,4.23,7.68,176.34,3.72,10.9,143.5,2.0742475507081855,False,2.86,Moderate,False
9134, NEAR TELMUCHO BRIDGE,2020,Pond,HIMACHAL PRADESH,19.31,4.6,6.78,223.62,2.23,2.8899999999999997,179.0,2.1076940808999103,False,2.83,Moderate,False
3950, ZARANGDIH BRIDGE,2006,River,HIMACHAL PRADESH,21.34,5.35,7.7,138.37,3.32,5.535,200.0,1.3963232924873892,False,3.2,Excellent,False
7089," BOLBA, JHARKHAND",2013,Lake,HIMACHAL PRADESH,16.01,6.15,7.31,216.12,2.68,9.11,166.0,1.3710495523367507,False,3.38,Excellent,False
5074, MAITHAN DAM,2008,Reservoir,HIMACHAL PRADESH,17.45,7.42,6.74,178.12,4.57,6.3149999999999995,204.5,1.5944283004778832,False,3.62,Excellent,False
4175, BOKARO,2024,River,HIMACHAL PRADESH,17.14,6.51,6.85,149.64,4.61,6.805,114.0,1.6668845208798861,False,3.37,Excellent,False
5717," NK AREA,  PO-DAKRA",2008,Lake,HIMACHAL PRADESH,17.31,5.28,7.26,231.24,2.48,9.415000000000001,253.5,1.6079849968960476,False,3.12,Excellent,False
1938,NEAR TELMUCHO BRIDGE,2012,Reservoir,HIMACHAL PRADESH,24.28,5.4,7.49,230.62,5.2,6.635,99.0,1.7714626597128662,False,3.16,Excellent,False
6243, TIUNI,2017,Lake,HIMACHAL PRADESH,20.4,6.67,6.91,220.29,4.75,8.92,160.0,1.216534907981882,False,3.43,Excellent,False
4812, HARIPUR (U.K.),2000,Reservoir,HIMACHAL PRADESH,24.35,7.25,7.03,166.6,4.21,5.18,242.0,1.6206535172191066,False,3.63,Excellent,False
