stn_code,monitoring_location,year,type_water_body,state_name,temperature_min,temperature_max,dissolved_min,dissolved_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_mg_min,bod_mgl_max,nitraten_mgl_min,nitraten_mgl_max,fecal_coliform_mpn100ml_min,fecal_coliform_mpn100ml_max
STN0103,Pond,2020,Brackish,StateD,18.34627151,30.52805322,2.597263663,8.212825998,6.743593916,7.542818761,124.1896327,182.9330885,1.547280836,3.504610967,,10.21377021,75.47263536,347.2358176
STN0436,Canal,2022,Brackish,StateA,2.736372618,34.63179044,1.609664053,7.106240266,6.506266059,7.993390846,134.8425379,,1.975668637,5.637990647,1.422706928,13.96574658,82.70330606,805.1608704
STN0349,Reservoir,2015,Brackish,StateA,19.00474708,21.63259964,4.969934009,8.180886824,6.634104031,7.568548186,92.2629197,242.4450729,1.164544649,4.67112154,2.215168532,6.962943023,7.962287889,579.3263567
STN0271,Reservoir,2024,Brackish,StateA,8.920115459,21.20704168,4.708003872,8.92825809,6.070932216,7.267656726,80.29309056,233.5317665,1.919168114,3.694141909,3.085529722,5.225645117,54.79761989,380.6316417
STN0107,Canal,2006,Marine,StateC,3.702658577,24.94206468,3.159828521,,6.254391581,8.259115394,82.5295134,212.3662655,,4.507281861,4.249796653,13.61664885,191.1298935,693.2975825
STN0072,Reservoir,2012,Brackish,StateC,10.83801895,,4.368133178,,6.361853093,,121.2621333,214.34165,2.644762422,5.194459079,0.981228584,,190.7265216,232.2670817
STN0189,Canal,2020,Brackish,,17.45891672,,,9.199011428,6.472493355,8.497290468,131.6779467,231.1357506,1.113957454,5.874354027,0.627748949,13.90658455,70.46541085,460.9362033
STN0021,Lake,2009,Freshwater,StateB,14.64449773,24.38427975,3.494342752,,6.045648746,7.635173591,68.16139678,254.4644711,1.83721455,3.661338013,4.817399737,10.96945223,8.62002179,574.8455957
STN0103,Canal,2006,Marine,,16.13122296,39.51730512,1.356497728,7.859361356,6.140024098,,87.09410082,255.3219144,1.916862848,5.658545316,0.540222797,13.1016109,35.81898787,318.3666673
STN0122,Canal,,Marine,StateB,13.17566733,26.73791584,4.021081682,7.938846804,6.276814308,8.022258278,140.1940197,,2.450012153,5.802912343,2.392455351,9.296733634,78.44355869,987.7235821
STN0467,Reservoir,2004,Marine,StateA,13.84553129,23.64235831,1.510853935,5.922381266,6.971532691,7.093703817,130.669352,225.0169128,2.14857515,,2.927818644,12.49859931,189.5559396,367.2778917
STN0215,Reservoir,2002,Brackish,StateA,16.98391303,35.79397014,4.304270521,6.811177208,6.331347007,7.552339116,148.4858403,211.7937143,2.334424674,4.906243071,2.706872105,14.13041467,28.23981271,304.282504
STN0331,River,2022,Brackish,StateC,4.993360177,33.17415551,4.128112351,6.672556444,6.482041058,8.413952975,125.424826,280.5790449,2.554098571,4.889461963,0.430160785,10.72122964,152.7031687,362.8278991
STN0459,River,2010,Brackish,StateA,9.788499273,29.96391433,3.834978791,5.130983543,6.196097713,,89.3195201,244.7128382,2.724405947,4.2096319,,6.807851506,21.73650787,815.2489065
STN0088,,2010,Freshwater,StateD,4.424188836,31.10727102,1.144641522,,6.610780071,8.678676985,109.0637834,229.87561,1.627750993,5.257193647,0.527417137,7.68797615,196.2515155,540.4045274
STN0373,River,2017,,StateA,19.75336016,34.38403557,2.212513424,9.158485218,6.280683216,7.007639845,116.1014254,167.3091963,2.076045411,4.593882055,2.927938419,6.986445769,76.32329982,652.3327518
STN0100,Canal,2014,Freshwater,StateA,18.88118679,,2.05245028,6.36535405,6.206992578,7.493647738,57.84558163,240.8456834,2.680216157,5.032314214,2.721724438,7.468570276,155.0469078,216.8073256
STN0360,Reservoir,2011,,StateD,0.788536227,39.92667832,2.44054563,7.590393831,6.516572628,8.481808112,104.4496959,167.5805859,,4.285373712,1.16870396,8.064154494,68.51821656,227.5450469
,River,2008,,StateB,14.11150345,39.49586324,1.350570987,6.493627868,6.005505799,7.632540299,120.9320828,200.5809863,2.779038622,5.194489392,3.188870709,10.55133787,125.5337754,556.6604399
STN0131,River,2009,Freshwater,StateB,18.50496635,33.00651373,,9.703396226,,7.203784776,66.7321304,171.4262947,1.742934525,5.473414553,4.10033751,,38.40321695,
STN0150,Lake,2011,Freshwater,StateD,3.611506903,23.99084902,3.215208963,6.296483794,,7.720467838,128.0631717,,1.390333034,3.43930877,0.207894799,9.264997472,29.20420386,908.191103
STN0309,Lake,2016,Brackish,StateC,11.35890461,,,7.148284064,6.036721363,7.540786573,108.3772781,180.9378171,1.978785075,,2.490649718,11.1542078,187.6128279,269.3652541
STN0258,Canal,2005,Marine,StateA,18.30976595,21.44396818,2.587926068,9.363651252,6.108025754,8.685423804,,208.778906,2.483282904,4.620889595,3.446552061,5.815749256,183.5294556,
STN0344,Reservoir,2006,Marine,StateD,0.678919572,20.61305004,2.788810162,9.209667834,6.338860649,7.626695835,54.24222982,284.3512166,1.985138142,5.533997727,1.261559635,5.877882371,177.493788,930.583749
STN0492,Lake,2013,Marine,StateA,13.94840534,25.15365777,3.402377333,5.930507089,6.80258568,8.577864944,76.53261376,180.6474575,1.966361727,4.293905119,1.538854526,6.718294604,125.08669,510.3782035
STN0414,River,2012,,StateC,5.946980147,29.25245913,3.062717711,9.013216549,,8.78374429,110.1553879,226.1707596,2.676460842,4.137121456,3.068189515,10.18077498,161.6536422,863.6526651
STN0294,Reservoir,2007,Freshwater,StateA,,37.36545011,4.677567893,7.290934434,6.512667726,7.867634839,,212.8907492,1.722807558,5.745182198,4.489676467,7.139946787,13.80738738,306.9565235
STN0386,Reservoir,2009,Freshwater,StateD,19.4211649,34.5433814,2.987853932,7.41484436,6.293488823,8.819886288,121.4424164,152.7186062,2.71958935,3.753507803,4.049622102,7.832844035,66.95780838,948.3155917
